feature,importance
feature_15,1395
feature_1,1374
feature_7,1279
feature_11,1277
feature_16,1251
feature_13,1245
feature_17,1243
feature_9,1136
feature_8,1109
feature_3,1086
feature_19,1063
feature_12,1053
feature_4,1000
feature_5,898
feature_0,834
feature_2,155
feature_6,71
feature_38,48
feature_37,37
feature_24,24
feature_25,24
feature_26,22
feature_44,21
feature_31,20
feature_39,20
feature_29,19
feature_33,18
feature_48,18
feature_45,17
feature_28,16
feature_34,15
feature_20,14
feature_30,10
feature_36,9
feature_40,9
feature_51,9
feature_50,8
feature_46,7
feature_47,6
feature_35,5
feature_21,5
feature_32,3
feature_23,2
feature_27,2
feature_41,2
feature_42,2
feature_43,2
feature_22,1
feature_10,0
feature_49,0
feature_18,0
feature_14,0
