feature,importance
feature_3,0.6766872529559306
feature_8,0.6318593206064816
feature_12,0.5982761914501207
feature_32,0.5186578487848997
feature_24,0.5160078183130539
feature_5,0.4106842953130657
feature_10,0.40055912399909877
feature_21,0.39724824536254494
feature_44,0.39270638894957877
feature_0,0.3883105410263189
feature_22,0.3855294003458424
feature_23,0.35225593176132813
feature_1,0.30733523284821873
feature_11,0.29800312135509005
feature_9,0.29000234977231654
feature_40,0.27755143758506334
feature_35,0.27574336984370157
feature_19,0.2397657842384129
feature_25,0.2345529313085601
feature_46,0.21333351304002598
feature_4,0.16749634438587485
feature_13,0.16550277983467124
feature_48,0.1638230229905903
feature_42,0.16149093473149836
feature_7,0.15577202767395573
feature_27,0.1501169882003168
feature_49,0.1305392701627963
feature_6,0.1259504572138679
feature_26,0.12162942625223888
feature_18,0.12048603445804658
feature_28,0.11947317461903875
feature_47,0.11405736150425473
feature_29,0.09813485458903322
feature_15,0.09249180006223141
feature_39,0.08900334510898916
feature_31,0.08163877389814396
feature_50,0.06919662296908857
feature_38,0.0661728101640546
feature_30,0.060461116931025356
feature_16,0.054285336661957805
feature_43,0.04883623102679415
feature_33,0.047231904908450605
feature_20,0.04621278368606112
feature_17,0.045986595858926414
feature_45,0.04451590148408108
feature_51,0.03467108642357413
feature_37,0.03426608858318869
feature_34,0.03367601957179914
feature_41,0.025174076734149186
feature_14,0.014414228036996681
feature_2,0.010755147211409865
feature_36,0.004073324919923896
