feature,importance
feature_3,0.6766873168896125
feature_8,0.6318593343892074
feature_12,0.5982761884233957
feature_27,0.5186578120500468
feature_21,0.5160077648756276
feature_5,0.41068429649965876
feature_10,0.4005590840366978
feature_30,0.3972482166318534
feature_44,0.39270634591734516
feature_0,0.38831058861426654
feature_22,0.38552935706611147
feature_46,0.3522559774003003
feature_1,0.3073352602153932
feature_11,0.29800310933502666
feature_9,0.29000234911656597
feature_50,0.27755142220577095
feature_51,0.2757433564908234
feature_19,0.2397657967151073
feature_28,0.2345529302466257
feature_42,0.21333346560604885
feature_4,0.16749638713809323
feature_13,0.16550281043314616
feature_38,0.16382303461480263
feature_37,0.16149092877293608
feature_7,0.15577205108460004
feature_39,0.15011698448439603
feature_35,0.13053929050176052
feature_6,0.1259504759483558
feature_24,0.12162946486421608
feature_18,0.12048602024664491
feature_45,0.1194731648051845
feature_32,0.11405738227591854
feature_26,0.09813485335789976
feature_15,0.09249175805110856
feature_36,0.0890033600873299
feature_29,0.08163878424723847
feature_41,0.06919663795575035
feature_49,0.06617282046878686
feature_43,0.06046111056529564
feature_16,0.05428533252411825
feature_47,0.04883622707099475
feature_33,0.047231910954214806
feature_34,0.046212815307729846
feature_17,0.04598656975275183
feature_40,0.04451594122967138
feature_31,0.034671080720233685
feature_48,0.034266100679105106
feature_23,0.03367599525580761
feature_25,0.02517408760808204
feature_14,0.014414208695015735
feature_2,0.010755124577196185
feature_20,0.004073318821167859
