feature,importance
feature_3,0.6766873524955784
feature_8,0.6318593420575274
feature_12,0.5982761867383974
feature_36,0.5186577916215004
feature_27,0.5160077351164264
feature_5,0.41068429716994675
feature_10,0.40055906177815165
feature_20,0.39724820062990673
feature_25,0.3927063219574344
feature_0,0.38831061510428294
feature_51,0.385529332977264
feature_35,0.35225600281931335
feature_1,0.30733527544886236
feature_11,0.2980031026393474
feature_9,0.29000234874652386
feature_40,0.2775514136528789
feature_21,0.2757433490519644
feature_19,0.2397658036673034
feature_32,0.23455292965781713
feature_50,0.2133334391956411
feature_4,0.16749641093542297
feature_13,0.16550282746453243
feature_39,0.16382304108659243
feature_23,0.16149092545493948
feature_7,0.15577206410702943
feature_29,0.1501169824175386
feature_48,0.13053930184682425
feature_6,0.1259504863702338
feature_49,0.12162948636339034
feature_18,0.12048601233299058
feature_24,0.11947315934585272
feature_41,0.11405739383347024
feature_30,0.09813485266049017
feature_15,0.09249173466380155
feature_47,0.08900336842758207
feature_43,0.08163879000436457
feature_22,0.06919664629533424
feature_26,0.06617282620159194
feature_33,0.060461107018904316
feature_16,0.05428533022434293
feature_28,0.048836224873613956
feature_37,0.04723191431801823
feature_34,0.046212832914976396
feature_17,0.04598655521571359
feature_45,0.04451596335191359
feature_38,0.03467107754766198
feature_31,0.03426610743093991
feature_44,0.0336759817110923
feature_46,0.02517409366482692
feature_14,0.014414197919700616
feature_2,0.010755111983484
feature_42,0.004073315434108957
