feature,importance
feature_32,0.04187209
feature_5,0.03711496
feature_49,0.036325984
feature_20,0.034281537
feature_40,0.03265859
feature_19,0.031195706
feature_11,0.031109702
feature_37,0.030539272
feature_8,0.030335778
feature_17,0.028679408
feature_3,0.028547732
feature_26,0.028240507
feature_36,0.028053846
feature_31,0.027587801
feature_48,0.027339578
feature_6,0.027126878
feature_2,0.027100326
feature_12,0.026732484
feature_25,0.026647763
feature_15,0.026467016
feature_1,0.025756508
feature_13,0.02565807
feature_0,0.02514073
feature_35,0.02506177
feature_29,0.024792349
feature_9,0.02465928
feature_16,0.02455877
feature_22,0.024464466
feature_41,0.024003824
feature_28,0.023448698
feature_4,0.02296625
feature_7,0.021953572
feature_21,0.02178609
feature_43,0.021718042
feature_39,0.021452457
feature_51,0.018934522
feature_23,0.015687674
feature_24,0.0
feature_38,0.0
feature_14,0.0
feature_34,0.0
feature_33,0.0
feature_42,0.0
feature_18,0.0
feature_44,0.0
feature_45,0.0
feature_46,0.0
feature_47,0.0
feature_30,0.0
feature_27,0.0
feature_50,0.0
feature_10,0.0
