feature,importance
pat_014__stage_2_Mát-Khô__stage_3_Mát-Khô,0.038543735
stage_2_total_precip,0.038352937
pat_001__stage_1_Mát-Vừa,0.035246078
pat_026__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,0.031753615
stage_3_avg_et0,0.031620935
stage_5_avg_et0,0.030793019
pat_030__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.030649418
pat_028__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,0.030375708
pat_008__stage_5_Mát-Vừa,0.029852463
stage_3_avg_temp,0.029432395
pat_010__stage_1_Mát-Khô__stage_2_Mát-Khô,0.029342001
stage_1_avg_et0,0.029205818
stage_5_total_precip,0.028862592
pat_022__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,0.027795402
pat_016__stage_2_Mát-Khô__stage_5_Mát-Khô,0.02753003
pat_019__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,0.027393594
stage_2_count_heat_days,0.026980178
pat_023__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,0.026874676
pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,0.026774835
stage_1_count_heat_days,0.026685314
stage_4_avg_temp,0.026316417
stage_4_avg_et0,0.026163252
pat_011__stage_1_Mát-Khô__stage_3_Mát-Khô,0.025804937
stage_4_total_precip,0.025789786
stage_3_total_precip,0.025250815
pat_000__stage_1_Mát-Khô,0.025160732
pat_020__stage_3_Mát-Khô__stage_4_Mát-Khô,0.024664963
stage_1_avg_temp,0.024583446
stage_5_avg_temp,0.024153987
stage_1_total_precip,0.024088303
stage_2_avg_temp,0.023044521
pat_012__stage_1_Mát-Vừa__stage_3_Mát-Khô,0.022370523
pat_015__stage_2_Mát-Khô__stage_4_Mát-Khô,0.022359997
stage_2_avg_et0,0.02091675
pat_004__stage_3_Mát-Vừa,0.020026248
pat_018__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,0.017660687
pat_017__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,0.017579906
pat_024__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0
pat_025__stage_4_Mát-Khô__stage_5_Vừa-Khô,0.0
pat_027__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,0.0
pat_021__stage_3_Mát-Khô__stage_5_Mát-Khô,0.0
pat_006__stage_4_Mát-Ướt,0.0
pat_013__stage_1_Mát-Vừa__stage_4_Mát-Khô,0.0
pat_009__stage_5_Vừa-Khô,0.0
pat_007__stage_5_Mát-Khô,0.0
pat_005__stage_3_Vừa-Khô,0.0
pat_003__stage_2_Mát-Vừa,0.0
pat_002__stage_1_Mát-Ướt,0.0
stage_5_count_heat_days,0.0
stage_4_count_heat_days,0.0
stage_3_count_heat_days,0.0
pat_031__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,0.0
