feature,importance
feature_34,0.038543735
feature_5,0.038352937
feature_21,0.035246078
feature_46,0.031753615
feature_11,0.031620935
feature_19,0.030793019
feature_50,0.030649418
feature_48,0.030375708
feature_28,0.029852463
feature_8,0.029432395
feature_30,0.029342001
feature_3,0.029205818
feature_17,0.028862592
feature_42,0.027795402
feature_36,0.02753003
feature_39,0.027393594
feature_6,0.026980178
feature_43,0.026874676
feature_49,0.026774835
feature_2,0.026685314
feature_12,0.026316417
feature_15,0.026163252
feature_31,0.025804937
feature_13,0.025789786
feature_9,0.025250815
feature_20,0.025160732
feature_40,0.024664963
feature_0,0.024583446
feature_16,0.024153987
feature_1,0.024088303
feature_4,0.023044521
feature_32,0.022370523
feature_35,0.022359997
feature_7,0.02091675
feature_24,0.020026248
feature_38,0.017660687
feature_37,0.017579906
feature_44,0.0
feature_45,0.0
feature_47,0.0
feature_41,0.0
feature_26,0.0
feature_33,0.0
feature_29,0.0
feature_27,0.0
feature_25,0.0
feature_23,0.0
feature_22,0.0
feature_18,0.0
feature_14,0.0
feature_10,0.0
feature_51,0.0
