province,year,season,cultivated_area,rice_yield,rice_production,yield_class,expected_yield,residual
Long An,2018,summer_autumn,273.5,49.5,1354.4,Medium,48.57286614757186,0.9271338524281418
Long An,2018,main_season,2.2,31.8,7.0,Low,35.35161290322594,-3.5516129032259407
Long An,2019,winter_spring,232.0,63.4,1471.3,Low,64.56616240266976,-1.1661624026697623
Long An,2019,summer_autumn,272.2,47.6,1295.9,Low,49.62810530218803,-2.028105302188031
Long An,2019,main_season,2.1,36.7,7.7,Medium,36.167096774193624,0.532903225806379
Long An,2020,winter_spring,227.2,64.9,1474.1,Medium,65.57628476084551,-0.6762847608455047
Long An,2020,summer_autumn,273.6,49.3,1349.4,Medium,50.68334445680421,-1.3833444568042097
Long An,2020,main_season,1.8,37.2,6.7,Medium,36.98258064516153,0.2174193548384693
Long An,2021,winter_spring,225.9,66.5,1502.5,Medium,66.58640711902126,-0.08640711902125986
Long An,2021,summer_autumn,283.7,49.9,1417.2,Low,51.73858361142038,-1.8385836114203826
Long An,2021,main_season,1.7,34.7,5.9,Low,37.798064516129216,-3.098064516129213
Long An,2022,winter_spring,225.9,64.5,1456.6,Low,67.59652947719701,-3.0965294771970093
Long An,2022,summer_autumn,281.5,49.7,1397.9,Low,52.793822766036556,-3.0938227660365527
Long An,2022,main_season,1.6,41.3,6.6,Medium,38.6135483870969,2.686451612903099
Long An,2023,winter_spring,225.2,67.8,1526.6,Medium,68.60665183537276,-0.8066518353727616
Long An,2023,summer_autumn,289.8,53.4,1549.0,Medium,53.84906192065273,-0.4490619206527313
Long An,2023,main_season,1.3,40.8,5.4,Medium,39.42903225806458,1.3709677419354165
Long An,2024,winter_spring,235.7,66.1,1557.1,Low,69.61677419354851,-3.516774193548514
Long An,2024,summer_autumn,302.1,54.9,1659.3,Medium,54.90430107526936,-0.00430107526936041
Long An,2024,main_season,1.1,44.0,4.8,High,40.24451612903249,3.7554838709675096
Tien Giang,1995,winter_spring,79.3,55.0,435.8,Medium,54.26709677419353,0.7329032258064672
Tien Giang,1995,summer_autumn,178.6,40.0,714.0,High,39.15204301075255,0.8479569892474501
Tien Giang,1995,main_season,11.4,36.7,41.8,High,28.882142857142924,7.817857142857079
Tien Giang,1996,winter_spring,87.7,53.4,468.0,Low,54.94315906562838,-1.5431590656283802
Tien Giang,1996,summer_autumn,183.6,40.4,741.1,Medium,39.81695958472369,0.583040415276308
Tien Giang,1996,main_season,8.9,20.2,18.0,Low,29.121428571428623,-8.921428571428624
Tien Giang,1997,winter_spring,96.1,56.2,539.7,Medium,55.61922135706345,0.5807786429365507
Tien Giang,1997,summer_autumn,185.0,40.9,757.1,Medium,40.48187615869483,0.41812384130516733
Tien Giang,1997,main_season,7.6,30.1,22.9,Medium,29.360714285714323,0.7392857142856784
Tien Giang,1998,winter_spring,95.2,53.8,512.2,Low,56.2952836484983,-2.495283648498301
Tien Giang,1998,summer_autumn,180.1,43.8,789.1,High,41.14679273266597,2.6532072673340252
Tien Giang,1998,main_season,6.2,30.0,18.6,Medium,29.600000000000023,0.39999999999997726
Tien Giang,1999,winter_spring,95.9,50.9,488.4,Low,56.971345939933144,-6.0713459399331455
Tien Giang,1999,summer_autumn,187.2,43.0,804.7,High,41.811709306636885,1.1882906933631148
Tien Giang,1999,main_season,3.3,26.1,8.6,Low,29.83928571428578,-3.739285714285778
Tien Giang,2000,winter_spring,94.7,56.8,537.9,Medium,57.64740823136822,-0.8474082313682203
Tien Giang,2000,summer_autumn,184.9,40.8,754.5,Low,42.476625880608026,-1.6766258806080288
Tien Giang,2000,main_season,2.8,31.1,8.7,High,30.07857142857148,1.0214285714285225
Tien Giang,2001,winter_spring,94.2,57.2,539.0,Low,58.32347052280306,-1.1234705228030606
Tien Giang,2001,summer_autumn,179.6,41.3,741.0,Low,43.14154245457917,-1.8415424545791694
Tien Giang,2001,main_season,2.3,33.0,7.6,High,30.31785714285718,2.6821428571428214
Tien Giang,2002,winter_spring,90.4,61.3,554.4,High,58.99953281423791,2.3004671857620878
Tien Giang,2002,summer_autumn,174.6,41.9,730.9,Low,43.80645902855031,-1.9064590285503087
Tien Giang,2003,winter_spring,89.1,58.7,522.9,Medium,59.67559510567298,-0.9755951056729799
Tien Giang,2003,summer_autumn,171.7,43.4,745.1,Low,44.47137560252122,-1.071375602521222
Tien Giang,2004,winter_spring,88.1,60.0,528.3,Medium,60.35165739710783,-0.35165739710782873
Tien Giang,2004,summer_autumn,171.3,45.9,787.0,Medium,45.13629217649236,0.7637078235076373
Tien Giang,2005,winter_spring,85.7,61.6,527.6,Medium,61.0277196885429,0.5722803114570993
Tien Giang,2005,summer_autumn,166.2,46.7,775.6,High,45.8012087504635,0.8987912495365009
Tien Giang,2006,winter_spring,83.9,59.8,501.9,Low,61.70378197997775,-1.903781979977751
Tien Giang,2006,summer_autumn,163.9,43.5,712.4,Low,46.466125324434415,-2.9661253244344152
Tien Giang,2007,winter_spring,83.4,63.7,531.2,High,62.379844271412594,1.3201557285874088
Tien Giang,2007,summer_autumn,163.4,47.5,775.5,Medium,47.131041898405556,0.3689581015944441
Tien Giang,2008,winter_spring,82.6,66.7,551.2,High,63.05590656284767,3.6440934371523355
Tien Giang,2008,summer_autumn,162.3,47.4,769.8,Medium,47.7959584723767,-0.395958472376698
Tien Giang,2009,winter_spring,82.7,64.7,535.1,Medium,63.73196885428251,0.9680311457174895
Tien Giang,2009,summer_autumn,163.7,47.2,772.9,Low,48.46087504634784,-1.2608750463478344
Tien Giang,2010,winter_spring,81.9,65.6,537.2,Medium,64.40803114571736,1.191968854282635
Tien Giang,2010,summer_autumn,162.1,48.3,783.4,Low,49.12579162031875,-0.8257916203187534
Tien Giang,2011,winter_spring,81.0,66.7,540.4,High,65.08409343715243,1.6159065628475702
Tien Giang,2011,summer_autumn,160.8,49.3,792.4,Medium,49.79070819428989,-0.4907081942898941
Tien Giang,2012,winter_spring,80.6,69.8,562.3,High,65.76015572858728,4.0398442714127185
