id_vụ,year,yield_class,stage_1_avg_temp,stage_1_total_precip,stage_1_count_heat_days,stage_1_avg_et0,stage_2_avg_temp,stage_2_total_precip,stage_2_count_heat_days,stage_2_avg_et0,stage_3_avg_temp,stage_3_total_precip,stage_3_count_heat_days,stage_3_avg_et0,stage_4_avg_temp,stage_4_total_precip,stage_4_count_heat_days,stage_4_avg_et0,stage_5_avg_temp,stage_5_total_precip,stage_5_count_heat_days,stage_5_avg_et0
Long An_1995_winter_spring,1995,Low,27.20436059860956,10.799999937415123,0,4.051189309074765,26.355582275390624,27.899999983608723,0,3.765020046234131,26.674082692464193,2.0000000596046448,0,4.36910400390625,26.43908338546753,22.299999043345455,0,4.47525384426117,26.83066619873047,0.7000000178813934,0,5.1763694381713865
Long An_1995_summer_autumn,1995,High,29.979063215709868,7.200000047683716,17,5.980853285108294,29.02616600036621,90.19999931752682,6,4.888817949295044,28.1461664835612,75.40000231564045,0,4.4339735825856526,27.156270694732665,173.20000576972961,0,3.8300026297569274,26.385498962402345,245.5000061392784,0,3.676655874252319
Long An_1995_main_season,1995,Low,28.800392241705033,75.3000014424324,2,4.827374844324021,27.539083099365236,204.9000061750412,0,3.993965711593628,26.675610478719076,131.80000519752502,0,3.7124632358551026,26.46179094314575,175.10000437498093,0,3.7648181557655334,26.48774971008301,268.2999996095896,0,3.4735559844970703
Long An_1996_winter_spring,1996,Medium,25.36358678908575,59.59999971836805,0,3.3520599830718267,24.981499786376954,37.70000076293945,0,3.733371901512146,24.489498901367188,0.7000000029802322,0,3.980514923731486,25.546165657043456,26.400000870227814,0,3.758895480632782,26.71708290100098,2.200000047683716,0,4.734049196243286
Long An_1996_summer_autumn,1996,Medium,28.02936008998326,85.49999935179949,0,4.5535295350211005,27.23633232116699,228.80000680685043,0,3.652600212097168,26.81019376118978,115.10000067949295,0,3.6084352016448973,26.8404372215271,131.79999801516533,0,3.831011378765106,26.47841636657715,159.1000079214573,0,3.5391790962219236
Long An_1996_main_season,1996,Medium,26.916562034970237,192.2000026702881,0,3.57809126944769,26.601833038330078,210.4999989271164,0,3.485189075469971,26.825610987345378,80.90000215172768,0,3.9511908372243245,26.61939525604248,116.40000620484352,0,3.5848357677459717,26.51408264160156,197.1999985948205,0,3.8053206729888918
Long An_1997_winter_spring,1997,Medium,25.65336845034645,198.90000289678574,0,3.178986980801537,24.35174903869629,102.7000000178814,0,3.0600387859344482,23.909499486287434,1.100000023841858,0,4.0218892097473145,25.60689535140991,0.6000000089406967,0,4.304933321475983,26.66016647338867,30.500000290572647,0,4.231831035614014
Long An_1997_summer_autumn,1997,Low,29.044340860275994,42.10000079870224,6,5.200151375361851,28.208082809448243,126.00000040978193,2,4.335028848648071,27.439082463582356,47.59999990463257,0,4.295863342285156,27.57929105758667,104.5999995470047,0,4.253559559583664,26.186999893188478,294.3000022172928,0,3.0887605285644533
Long An_1997_main_season,1997,Medium,27.445531027657644,134.39999971538782,0,3.876452094032651,27.693832626342772,110.30000054836273,0,4.365380492210388,26.633111190795898,120.40000200271606,0,3.7612454255421954,26.04033260345459,239.49999940395355,0,2.731359398365021,26.725415878295898,175.00000301003456,0,3.790089693069458
Long An_1998_winter_spring,1998,Medium,26.917158126831055,17.499999918043617,0,4.12299310593378,27.495749893188478,2.900000154972076,0,4.422239046096802,27.622554779052734,0.0,0,4.8061526616414385,28.286165618896483,0.0,1,5.144616055488586,28.170165939331056,2.2000000551342964,0,5.0284494781494145
Long An_1998_summer_autumn,1998,Low,29.84156390598842,55.60000051558018,11,5.159373567217872,29.90516586303711,113.60000007599592,10,5.021835832595825,27.76741714477539,120.0999995470047,0,3.9057999928792317,26.961686897277833,179.60000000149012,0,3.4756160140037538,27.27650001525879,164.29999959468842,0,4.097365274429321
Long An_1998_main_season,1998,High,28.714975902012416,144.50000059604645,1,4.074290979476202,27.323166580200194,205.09999845176935,0,3.642387857437134,26.911582946777344,116.0,0,3.713469378153483,27.216271114349365,158.40000140666962,0,4.125603818893433,26.923249893188476,223.8000032901764,0,3.8958831214904786
Long An_1999_winter_spring,1999,Low,25.64513451712472,83.09999941289425,0,2.957600235939026,24.70108283996582,96.29999846965075,0,3.1138741397857665,24.93047192891439,31.500000119209293,0,3.6168164094289144,26.054707622528078,38.500000678002834,0,3.7767361044883727,26.384000091552736,25.40000021457672,0,4.6887733936309814
Long An_1999_summer_autumn,1999,High,26.79890405564081,148.29999995231628,0,3.86330847513108,26.497583160400392,202.90000257641077,0,3.7666737174987794,26.082138697306316,139.40000219643116,0,3.083869202931722,26.215645027160644,126.00000102818012,0,3.750284159183502,26.21050003051758,190.6000035777688,0,3.670147624015808
Long An_1999_main_season,1999,Low,26.28511483328683,199.00000081211329,0,3.389399562563215,26.226749343872072,191.8000033199787,0,3.6344259929656983,26.143528111775716,80.5999990478158,0,3.782825311024984,26.027624320983886,221.6000030040741,0,3.315739119052887,26.607166366577147,166.80000050365925,0,3.9781596946716307
Long An_2000_winter_spring,2000,Low,25.789976755777996,94.89999814331532,0,3.3645291952859786,24.256165008544922,48.99999642372131,0,3.794380750656128,26.26241709391276,11.399999812245369,0,3.870140314102173,26.094186878204347,7.199999898672104,0,4.168531692028045,27.120249786376952,12.600000500679016,0,4.427776079177857
Long An_2000_summer_autumn,2000,Low,27.570432662963867,98.29999789595604,0,4.398778483981178,27.43591583251953,149.99999767541885,0,4.054719371795654,26.481304931640626,148.10000848770142,0,3.4995902856191,26.221999168395996,175.5999991297722,0,3.4964203119277952,26.372498931884767,155.30000050365925,0,3.57843994140625
Long An_2000_main_season,2000,Low,26.961602528889973,184.60000622272491,0,3.591358536765689,26.571583023071287,190.59999924898148,0,3.781144781112671,26.16824836730957,114.50000186264515,0,3.2946801662445067,26.56647844314575,108.49999964237213,0,3.923682999610901,26.261082916259767,229.30000084638596,0,3.6447351360321045
Long An_2001_winter_spring,2001,Low,26.02033279055641,128.19999697059393,0,3.350780066989717,25.4375830078125,130.7000069990754,0,3.183096618652344,25.233805592854818,10.400000341236591,0,3.397259330749512,25.876895046234132,18.499999918043613,0,3.811859852075577,26.56099983215332,26.599999651312828,0,4.471100931167602
Long An_2001_summer_autumn,2001,Low,28.543348403204057,78.70000107586384,1,4.663181282225109,27.93941635131836,130.0999997407198,2,4.315656461715698,27.301999282836913,66.90000027418137,0,4.310711034138998,26.277520179748535,147.20000219345093,0,3.2262320160865783,26.88066551208496,126.59999878704548,0,4.040565118789673
Long An_2001_main_season,2001,Medium,27.302971703665598,92.99999916553497,0,4.017119736898513,26.698999252319336,156.40000104904175,0,3.692797927856445,26.43463872273763,116.09999966621399,0,3.5149868011474608,27.180956745147704,74.30000038444996,0,4.363499474525452,26.383916625976564,231.6000040769577,0,3.178063921928406
Long An_2002_winter_spring,2002,High,25.749698457263765,9.799999922513962,0,3.937000762848627,26.665166091918945,26.699998170137405,0,4.133269748687744,25.446027755737305,0.0,0,4.415507125854492,27.34710340499878,0.3000000044703483,0,4.819998383522034,27.242915802001953,0.2000000029802322,1,5.348540649414063
Long An_2002_summer_autumn,2002,Low,30.272118886311848,19.900000527501103,19,5.923867191587176,29.361665649414064,76.19999784231186,12,5.142900676727295,28.36908238728841,96.19999861717224,1,4.565535720189413,26.99252052307129,152.2000014781952,0,3.5127688109874726,27.773749694824218,98.49999754875898,0,4.406499786376953
Long An_2002_main_season,2002,Medium,29.120233263288224,67.49999852478504,8,5.002535763240996,27.174333267211914,208.49999976158142,0,3.619022698402405,28.04144350687663,52.89999961853027,0,4.374551566441854,27.638874530792236,81.299998216331,0,4.478931641578674,26.385665817260744,190.39999976754189,0,3.2767163133621215
Long An_2003_winter_spring,2003,High,26.211602710542223,107.19999957829714,0,3.1953266859054565,26.522832489013673,35.19999925792217,0,3.6561212682724,25.439360173543296,0.700000025331974,0,3.8598223050435383,26.412832260131836,0.3000000044703483,0,4.593457937240601,27.63883270263672,0.2000000029802322,0,5.2451065635681156
Long An_2003_summer_autumn,2003,Medium,29.99483753385998,38.00000202655792,17,5.617481844765799,27.265666961669922,226.6000016927719,1,3.272934627532959,27.411859639485677,55.29999966919422,0,4.095503203074137,26.644604110717772,194.90000307559967,0,3.68233836889267,26.310999069213867,279.60000467300415,0,3.5117178678512575
Long An_2003_main_season,2003,Medium,26.894340605962846,182.0000011920929,0,3.1373385985692344,27.27966621398926,157.600001886487,0,4.10668833732605,26.139360682169595,146.70000183582306,0,3.5825440883636475,26.54210319519043,237.40000207722187,0,3.5587137401103974,26.83999885559082,165.00000217556953,0,3.7871188068389894
Long An_2004_winter_spring,2004,High,26.502873102823894,8.799999579787254,0,4.113678580238705,26.02799919128418,22.300000816583633,0,3.959797668457031,27.019776916503908,0.6000000163912773,0,4.148563241958618,26.822103118896486,0.0,0,4.569496011734008,26.561999206542968,0.9000000283122063,0,4.82236234664917
