province,year,season,rice_yield,yield_class,expected_yield,residual
Long An,2023,main_season,40.8,Medium,39.42903225806458,1.3709677419354165
Long An,2024,winter_spring,66.1,Low,69.61677419354851,-3.516774193548514
Long An,2024,summer_autumn,54.9,Medium,54.90430107526936,-0.00430107526936041
Long An,2024,main_season,44.0,High,40.24451612903249,3.7554838709675096
Tien Giang,1995,winter_spring,55.0,Medium,54.26709677419353,0.7329032258064672
Tien Giang,1995,summer_autumn,40.0,Medium,39.15204301075255,0.8479569892474501
Tien Giang,1995,main_season,36.7,High,28.882142857142924,7.817857142857079
Tien Giang,1996,winter_spring,53.4,Low,54.94315906562838,-1.5431590656283802
Tien Giang,1996,summer_autumn,40.4,Medium,39.81695958472369,0.583040415276308
Tien Giang,1996,main_season,20.2,Low,29.121428571428623,-8.921428571428624
Tien Giang,1997,winter_spring,56.2,Medium,55.61922135706345,0.5807786429365507
Tien Giang,1997,summer_autumn,40.9,Medium,40.48187615869483,0.41812384130516733
Tien Giang,1997,main_season,30.1,Medium,29.360714285714323,0.7392857142856784
Tien Giang,1998,winter_spring,53.8,Low,56.2952836484983,-2.495283648498301
Tien Giang,1998,summer_autumn,43.8,High,41.14679273266597,2.6532072673340252
Tien Giang,1998,main_season,30.0,Medium,29.600000000000023,0.39999999999997726
Tien Giang,1999,winter_spring,50.9,Low,56.971345939933144,-6.0713459399331455
Tien Giang,1999,summer_autumn,43.0,Medium,41.811709306636885,1.1882906933631148
Tien Giang,1999,main_season,26.1,Low,29.83928571428578,-3.739285714285778
Tien Giang,2000,winter_spring,56.8,Medium,57.64740823136822,-0.8474082313682203
Tien Giang,2000,summer_autumn,40.8,Low,42.476625880608026,-1.6766258806080288
Tien Giang,2000,main_season,31.1,Medium,30.07857142857148,1.0214285714285225
Tien Giang,2001,winter_spring,57.2,Medium,58.32347052280306,-1.1234705228030606
Tien Giang,2001,summer_autumn,41.3,Low,43.14154245457917,-1.8415424545791694
Tien Giang,2001,main_season,33.0,High,30.31785714285718,2.6821428571428214
Tien Giang,2002,winter_spring,61.3,High,58.99953281423791,2.3004671857620878
Tien Giang,2002,summer_autumn,41.9,Low,43.80645902855031,-1.9064590285503087
Tien Giang,2003,winter_spring,58.7,Medium,59.67559510567298,-0.9755951056729799
