feature,importance
feature_13,0.07300437612854842
feature_3,0.06689852034679845
feature_19,0.0662304135872535
feature_17,0.062294484362939016
feature_12,0.06226910478190897
feature_9,0.06170157690160455
feature_15,0.0573074045424271
feature_11,0.052680579435175984
feature_5,0.05187552355641577
feature_1,0.047217221777194084
feature_0,0.04581831191053212
feature_7,0.045104098820246
feature_16,0.04318371413403836
feature_4,0.0429242898033066
feature_8,0.04221071715480138
feature_48,0.01811588305897939
feature_2,0.014263028385396467
feature_44,0.01029661270537338
feature_36,0.008378411066285004
feature_38,0.008064912170144042
feature_34,0.007608332993884305
feature_51,0.007465366287438422
feature_20,0.006633694548256258
feature_24,0.005916155494818739
feature_46,0.005823144404726441
feature_25,0.005753721724797669
feature_6,0.005210514112430936
feature_29,0.00519760375910855
feature_50,0.0051941163003044605
feature_35,0.0048215798523380616
feature_37,0.004662192714806037
feature_28,0.004103410617304931
feature_47,0.004025057340757623
feature_39,0.003923330828570331
feature_43,0.003918189220018936
feature_26,0.003713603598403818
feature_45,0.0035803864317625624
feature_21,0.003526398436735747
feature_42,0.0034794073410782935
feature_22,0.0031864552249984534
feature_32,0.0028862597103694668
feature_30,0.0027856777480667703
feature_41,0.0027771801280205843
feature_27,0.0027269302797937552
feature_31,0.0024758696168041025
feature_18,0.0021923605346695105
feature_33,0.0017470573799448388
feature_40,0.0017455554041254189
feature_49,0.0013101030723895986
feature_10,0.000925687976172872
feature_23,0.0006368845704762483
feature_14,0.00020858771725783905
