feature,importance
feature_11,0.06738364533157634
feature_13,0.06537215180134065
feature_17,0.06350947946748826
feature_19,0.06344033375298638
feature_12,0.06340152071220317
feature_3,0.056480002069261875
feature_9,0.05265781344685781
feature_15,0.05150830854577141
feature_8,0.04911813749825398
feature_7,0.04845532915391058
feature_1,0.048028855226517654
feature_4,0.04631401624713269
feature_16,0.0454633897230827
feature_5,0.045370502006965165
feature_0,0.04113711163184856
feature_37,0.014711514023718739
feature_2,0.01388471872946867
feature_49,0.011507469880004676
feature_20,0.01118490679656646
feature_44,0.010224090107693377
feature_48,0.009203396126603097
feature_41,0.008550788064879718
feature_42,0.00786342692886952
feature_26,0.007442666693586637
feature_31,0.006414915349702365
feature_36,0.006339941518653498
feature_35,0.006155800212246964
feature_30,0.006064609492302654
feature_21,0.005843979474821535
feature_6,0.005763387597838424
feature_25,0.0049247804478019875
feature_24,0.004766337043056609
feature_45,0.004749341719528725
feature_40,0.004346982336541504
feature_43,0.004012468595045267
feature_23,0.0037460123187838877
feature_27,0.003724502985618959
feature_39,0.003567795404571461
feature_29,0.0035447717699813148
feature_33,0.0035063722410263007
feature_22,0.003210860340329121
feature_28,0.002878145423257609
feature_46,0.0027325506618501075
feature_47,0.002590224396490397
feature_34,0.00235033307414267
feature_18,0.0016163760983745167
feature_32,0.0014289895756730783
feature_10,0.0010504830299307981
feature_38,0.0008757323219817426
feature_51,0.0008714365975206884
feature_50,0.0007092960063397747
feature_14,0.0
