feature,importance
pat_016__stage_2_Mát-Khô__stage_5_Mát-Khô,2.791206182372602
pat_007__stage_5_Mát-Khô,1.6999127805940117
pat_031__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,1.5787154746270862
pat_030__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,1.3923410836571788
pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,1.1946359227495198
stage_3_count_heat_days,1.1466886449574638
stage_1_avg_et0,0.7961453288016519
stage_3_avg_temp,0.6951652806831047
stage_4_avg_temp,0.6415343435076489
pat_015__stage_2_Mát-Khô__stage_4_Mát-Khô,0.5055133785297589
stage_1_avg_temp,0.49340538141768553
pat_000__stage_1_Mát-Khô,0.4724893705424806
stage_2_total_precip,0.4620191961495116
pat_005__stage_3_Vừa-Khô,0.4521926100258386
stage_1_total_precip,0.3433231762789518
pat_028__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,0.3202118827860535
stage_3_avg_et0,0.31641245782179267
stage_3_total_precip,0.30640139156084883
pat_001__stage_1_Mát-Vừa,0.3033953339625696
stage_5_avg_et0,0.2733980560875882
pat_012__stage_1_Mát-Vừa__stage_3_Mát-Khô,0.22662762062339534
pat_021__stage_3_Mát-Khô__stage_5_Mát-Khô,0.2146654795403018
pat_020__stage_3_Mát-Khô__stage_4_Mát-Khô,0.2039419160830035
stage_2_avg_et0,0.19858054182640145
pat_009__stage_5_Vừa-Khô,0.19830142805605208
pat_003__stage_2_Mát-Vừa,0.1920238717112676
stage_4_total_precip,0.1739235374586758
stage_2_avg_temp,0.1633808235912194
pat_019__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,0.16308765788138732
pat_027__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,0.14197859849643435
stage_2_count_heat_days,0.12669931948101554
stage_5_count_heat_days,0.11989921666708271
pat_004__stage_3_Mát-Vừa,0.11921361092037304
stage_4_avg_et0,0.09753693013979668
pat_010__stage_1_Mát-Khô__stage_2_Mát-Khô,0.09605928112466122
pat_025__stage_4_Mát-Khô__stage_5_Vừa-Khô,0.0855539791684351
pat_013__stage_1_Mát-Vừa__stage_4_Mát-Khô,0.08544000628641035
pat_023__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,0.08416368053261973
pat_006__stage_4_Mát-Ướt,0.07215341058054202
pat_002__stage_1_Mát-Ướt,0.07113576640156463
pat_008__stage_5_Mát-Vừa,0.05892098328711527
stage_5_avg_temp,0.05568224844135895
stage_5_total_precip,0.04623101676367722
stage_4_count_heat_days,0.04576371188638164
pat_017__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,0.042690973050545734
pat_018__stage_2_Vừa-Ướt__stage_3_Vừa-Vừa,0.03808600322290803
pat_011__stage_1_Mát-Khô__stage_3_Mát-Khô,0.03171593257572119
pat_026__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,0.02935252961903702
pat_024__stage_4_Mát-Khô__stage_5_Mát-Khô,0.02866304074589882
stage_1_count_heat_days,0.022476132954349137
pat_014__stage_2_Mát-Khô__stage_3_Mát-Khô,0.017978502643649825
pat_022__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,0.0068850997964199755
