feature,importance
feature_15,1395
feature_1,1374
feature_7,1279
feature_11,1277
feature_16,1251
feature_13,1245
feature_17,1243
feature_9,1136
feature_8,1109
feature_3,1086
feature_19,1063
feature_12,1053
feature_4,1000
feature_5,898
feature_0,834
feature_2,155
feature_6,71
feature_39,48
feature_23,37
feature_46,24
feature_49,23
feature_30,22
feature_25,21
feature_38,20
feature_29,20
feature_31,19
feature_43,19
feature_37,18
feature_24,17
feature_34,15
feature_42,14
feature_21,13
feature_32,12
feature_20,10
feature_40,9
feature_45,9
feature_47,8
feature_35,7
feature_28,6
feature_27,5
feature_48,4
feature_41,3
feature_36,3
feature_50,2
feature_44,2
feature_22,2
feature_33,2
feature_51,1
feature_18,0
feature_14,0
feature_10,0
feature_26,0
