id_vụ,year,yield_class,yield_class_encoded,stage_1_count_heat_days,stage_1_avg_et0,stage_2_count_heat_days,stage_2_avg_et0,stage_3_avg_et0,stage_4_avg_temp,stage_4_total_precip,stage_4_avg_et0,stage_5_total_precip,stage_5_avg_et0,pat_001__stage_2_Mát-Khô__stage_4_Mát-Khô,pat_005__stage_5_Mát-Vừa,pat_009__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_014__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,pat_016__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_018__stage_1_Mát-Khô__stage_3_Mát-Khô,pat_023__stage_1_Mát-Ướt,pat_025__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,pat_026__stage_1_Mát-Khô__stage_2_Mát-Khô,pat_029__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô
Long An_1995_winter_spring,1995,Low,1,0.0,4.051189309074765,0.0,3.765020046234131,4.36910400390625,26.43908338546753,22.299999043345455,4.47525384426117,0.7000000178813934,5.1763694381713865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tien Giang_1995_winter_spring,1995,Medium,2,0.0,4.005243834995088,0.0,3.6624737405776977,4.252577416102091,25.91870861053467,11.90000019222498,4.551205182075501,0.9000000208616257,5.039116516113281,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Tien Giang_1995_summer_autumn,1995,Medium,2,0.0,5.5317510196140836,1.0,4.7126126480102535,4.317402362823486,26.98985357284546,214.79999923706055,3.7068896889686584,197.49999737739563,3.644486894607544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tien Giang_1995_main_season,1995,High,0,0.0,4.640637636184692,0.0,3.892976484298706,3.67579820950826,26.358498954772948,146.89999997615814,3.702457582950592,307.9999920129776,3.430181107521057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Lieu_1995_main_season,1995,High,0,0.0,4.7202239717756,0.0,3.928601036071777,3.892465416590373,26.645395374298097,186.0000038146973,3.650374007225037,249.20000088214871,3.422643585205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Lieu_1995_summer_autumn,1995,Low,1,0.0,5.748090698605492,0.0,4.889773273468018,4.430950816472372,27.39622802734375,166.09999668598175,3.6603725075721742,225.59999918937683,3.732388677597046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tre_1995_winter_spring,1995,Low,1,0.0,3.925649438585554,0.0,3.6089537000656127,4.154909722010294,25.790019989013672,11.90000019222498,4.440549790859222,0.9000000208616257,4.90453685760498,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Ben Tre_1995_summer_autumn,1995,Medium,2,0.0,5.4214710508074075,0.0,4.686173057556152,4.313544511795044,27.020540142059325,214.79999923706055,3.688815915584564,197.49999737739563,3.6347737216949465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tre_1995_main_season,1995,Medium,2,0.0,4.630853380475726,0.0,3.881080369949341,3.6675300121307375,26.410853576660156,146.89999997615814,3.689230096340179,307.9999920129776,3.420892992019654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soc Trang_1995_main_season,1995,Medium,2,0.0,4.6322560878027055,0.0,3.8174484729766847,3.8305862744649257,26.331582927703856,147.8999969959259,3.5764413714408874,244.80000495910645,3.401596121788025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soc Trang_1995_summer_autumn,1995,High,0,0.0,5.63556702931722,0.0,4.816165752410889,4.300848706563314,27.067105102539063,177.2000040113926,3.578030633926391,203.499996304512,3.6483046054840087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tra Vinh_1995_winter_spring,1995,High,0,0.0,4.029779502323696,0.0,3.6604596519470216,4.321068827311198,25.817541694641115,9.299999475479128,4.61431587934494,0.8000000193715096,4.964673862457276,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Tra Vinh_1995_summer_autumn,1995,High,0,0.0,5.462800184885661,0.0,4.7291514015197755,4.317940346399943,27.03493776321411,227.99999737739563,3.656101107597351,204.10000121593475,3.668370189666748,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tra Vinh_1995_main_season,1995,Low,1,0.0,4.6257423105694,0.0,3.8646850204467778,3.742430798212687,26.423999118804932,156.50000095367432,3.6905009746551514,297.49999368190765,3.463660297393799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Tho_1995_main_season,1995,High,0,0.0,4.5785628613971525,0.0,3.782746429443359,3.665407387415568,26.344143676757813,129.6999985948205,3.5054110646247865,322.90000569820404,3.2455021858215334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Tho_1995_summer_autumn,1995,High,0,9.0,5.705951077597482,2.0,4.687468023300171,4.232383410135905,27.085915565490723,163.800000526011,3.5893021702766417,158.10000178962946,3.5428785610198976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Tho_1995_winter_spring,1995,Low,1,0.0,3.8405465398515974,0.0,3.556115536689758,4.105513509114584,25.986540603637696,5.800000049173832,4.55648193359375,0.3000000044703483,4.979325065612793,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Kien Giang_1995_main_season,1995,High,0,0.0,4.794806616646903,0.0,3.926319732666016,3.811033042271932,26.603459072113036,201.6999990940094,3.557373356819153,355.9000056385994,3.4197054433822633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kien Giang_1995_summer_autumn,1995,High,0,10.0,5.626023133595784,2.0,4.849895238876343,4.310999075571696,27.54002151489258,122.49999809265135,3.8299150347709654,216.10000026226044,3.6338844203948977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kien Giang_1995_winter_spring,1995,High,0,0.0,3.8481900578453425,0.0,3.68424979686737,4.207191530863444,26.19897871017456,8.000000029802322,4.455449748039245,3.000000037252903,4.995009937286377,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Vinh Long_1995_winter_spring,1995,Low,1,0.0,3.90278528985523,0.0,3.6023179578781126,4.180505021413167,26.07287521362305,11.699999906122684,4.500964820384979,0.1000000014901161,5.050092029571533,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Vinh Long_1995_summer_autumn,1995,High,0,8.0,5.6364088285537,2.0,4.661264600753785,4.225005563100179,27.09412431716919,179.30000483989716,3.6536269307136537,199.3000054359436,3.5529279327392578,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinh Long_1995_main_season,1995,Medium,2,0.0,4.584474211647397,0.0,3.8236152744293217,3.626605049769083,26.373812866210937,160.50000596046448,3.570076584815979,285.29999566078186,3.3191910362243653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
An Giang_1995_main_season,1995,Low,1,0.0,4.88409484000433,0.0,4.081231508255005,3.8614348411560058,26.75154161453247,137.90000514686108,3.709635591506958,254.49999886751175,3.4649389791488647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
An Giang_1995_summer_autumn,1995,High,0,15.0,5.758206662677583,2.0,4.824321622848511,4.514797258377075,27.650188064575197,119.90000299364328,3.955287218093872,194.10000632703304,3.7245484256744383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
An Giang_1995_winter_spring,1995,Medium,2,0.0,3.859755118687948,0.0,3.694817280769348,4.17770250638326,26.09175043106079,12.299999721348286,4.34772937297821,0.0,5.006621360778809,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
