feature,importance
feature_15,1395
feature_1,1374
feature_7,1279
feature_11,1277
feature_16,1251
feature_13,1245
feature_17,1243
feature_9,1136
feature_8,1109
feature_3,1086
feature_19,1063
feature_12,1053
feature_4,1000
feature_5,898
feature_0,834
feature_2,155
feature_6,71
feature_48,48
feature_42,37
feature_41,24
feature_26,24
feature_29,22
feature_44,21
feature_51,20
feature_27,20
feature_31,19
feature_37,19
feature_33,18
feature_28,17
feature_25,16
feature_20,15
feature_36,14
feature_21,10
feature_45,9
feature_35,9
feature_40,9
feature_39,8
feature_23,7
feature_43,6
feature_49,4
feature_22,3
feature_24,3
feature_47,3
feature_50,2
feature_46,2
feature_32,2
feature_30,2
feature_34,2
feature_18,0
feature_10,0
feature_38,0
feature_14,0
