feature,importance
feature_19,0.07567600737599792
feature_13,0.06677612762183155
feature_11,0.061903931365162986
feature_17,0.058194579764425276
feature_15,0.056256608190889845
feature_12,0.05612735050997518
feature_9,0.056096421650339054
feature_8,0.05532415867455965
feature_5,0.05338095909347665
feature_1,0.0528893820781303
feature_3,0.05216331353517719
feature_4,0.04599469649752863
feature_0,0.044793390635595856
feature_7,0.04445412321645562
feature_16,0.040362744958367794
feature_25,0.014439768901731355
feature_2,0.014370282521645232
feature_31,0.011682481139216636
feature_48,0.010428184852409636
feature_34,0.009456504211202279
feature_47,0.008836011845396495
feature_42,0.008760157349861972
feature_32,0.008159941135455106
feature_46,0.007916857167367987
feature_39,0.0065530417956792516
feature_21,0.006253136442115071
feature_28,0.00585667912349355
feature_45,0.005005884815309479
feature_6,0.004942523590898276
feature_44,0.004623335968027105
feature_23,0.004457243541571977
feature_33,0.004366207205886075
feature_27,0.004157182343336882
feature_49,0.003997987504393307
feature_43,0.0038024120608700046
feature_30,0.003629862298677291
feature_24,0.002947650948105275
feature_29,0.002926323472192368
feature_40,0.002700596226798319
feature_36,0.0026101993137473884
feature_50,0.0023851916629531547
feature_41,0.0023641330118535937
feature_51,0.0022891306912135438
feature_20,0.0022174998417685133
feature_35,0.002090000128291273
feature_18,0.0018723597559789586
feature_38,0.0014377523684364498
feature_37,0.0010476269134495942
feature_26,0.0007871652819361048
feature_22,0.00023488940081713651
feature_14,0.0
feature_10,0.0
